Basis set,Reference,Target,APDFT$n$,Bond length,"$|\Delta  ho|$",$E^{	ext{APDFT}}$,$ E^{	ext{T[R]}}$,$E^{	ext{CCSD}}$,$|\Delta E_{	ext{APDFT}}|$,$\Delta E_{	ext{trunc}}$,$\Delta E_{	ext{BS}}$
321G,HeMg,LiNa,1,2.5,3.9444157147280845,-165.0436368591773,-166.389175593913,-168.112641732361,3.069004873183701,1.3455387347356975,1.7234661384480034
321G,HeMg,LiNa,2,2.5,3.9444157147280845,-166.24157308521265,-166.389175593913,-168.112641732361,1.8710686471483484,0.14760250870034497,1.7234661384480034
321G,HeMg,LiNa,3,2.5,3.9444157147280845,-166.3933154824189,-166.389175593913,-168.112641732361,1.7193262499420996,-0.004139888505903855,1.7234661384480034
321G,HeMg,LiNa,4,2.5,3.9444157147280845,-166.39243207926432,-166.389175593913,-168.112641732361,1.7202096530966742,-0.0032564853513292746,1.7234661384480034
321G,HeMg,LiNa,5,2.5,3.9444157147280845,-166.3401267225749,-166.389175593913,-168.112641732361,1.7725150097861047,0.04904887133810121,1.7234661384480034
321G,HeMg,LiNa,1,2.6,3.9730365250150452,-165.05730977464364,-166.417005299887,-168.13155870969,3.07424893504637,1.3596955252433531,1.7145534098030168
321G,HeMg,LiNa,2,2.6,3.9730365250150452,-166.2675081205245,-166.417005299887,-168.13155870969,1.8640505891655152,0.1494971793624984,1.7145534098030168
321G,HeMg,LiNa,3,2.6,3.9730365250150452,-166.4208110050855,-166.417005299887,-168.13155870969,1.7107477046045005,-0.003805705198516307,1.7145534098030168
321G,HeMg,LiNa,4,2.6,3.9730365250150452,-166.4282244658314,-166.417005299887,-168.13155870969,1.7033342438586203,-0.011219165944396536,1.7145534098030168
321G,HeMg,LiNa,5,2.6,3.9730365250150452,-166.38202016476114,-166.417005299887,-168.13155870969,1.7495385449288676,0.034985135125850775,1.7145534098030168
321G,HeMg,LiNa,1,2.7,3.999990597795332,-165.0683441115886,-166.440886491211,-168.147051901414,3.078707789825387,1.372542379622388,1.706165410202999
321G,HeMg,LiNa,2,2.7,3.999990597795332,-166.2895329550816,-166.440886491211,-168.147051901414,1.857518946332391,0.15135353612939184,1.706165410202999
321G,HeMg,LiNa,3,2.7,3.999990597795332,-166.44358886207914,-166.440886491211,-168.147051901414,1.7034630393348493,-0.0027023708681497283,1.706165410202999
321G,HeMg,LiNa,4,2.7,3.999990597795332,-166.45877270938735,-166.440886491211,-168.147051901414,1.6882791920266413,-0.017886218176357715,1.706165410202999
321G,HeMg,LiNa,5,2.7,3.999990597795332,-166.41692458630692,-166.440886491211,-168.147051901414,1.7301273151070689,0.023961904904069797,1.706165410202999
321G,HeMg,LiNa,1,2.8,4.0233015464741175,-165.0773963438158,-166.461472091384,-168.160001605499,3.0826052616831987,1.384075747568204,1.6985295141149948
321G,HeMg,LiNa,2,2.8,4.0233015464741175,-166.3082089907903,-166.461472091384,-168.160001605499,1.8517926147086996,0.15326310059370485,1.6985295141149948
321G,HeMg,LiNa,3,2.8,4.0233015464741175,-166.46237478854889,-166.461472091384,-168.160001605499,1.6976268169501054,-0.0009026971648893323,1.6985295141149948
321G,HeMg,LiNa,4,2.8,4.0233015464741175,-166.48484796398165,-166.461472091384,-168.160001605499,1.6751536415173405,-0.02337587259765428,1.6985295141149948
321G,HeMg,LiNa,5,2.8,4.0233015464741175,-166.44547303551815,-166.461472091384,-168.160001605499,1.7145285699808426,0.015999055865847822,1.6985295141149948
321G,HeMg,LiNa,1,2.9000000000000004,4.044448399761017,-165.08505236656515,-166.479272541039,-168.171041055579,3.0859886890138455,1.394220174473844,1.6917685145400014
321G,HeMg,LiNa,2,2.9000000000000004,4.044448399761017,-166.32415529655137,-166.479272541039,-168.171041055579,1.8468857590276286,0.1551172444876272,1.6917685145400014
321G,HeMg,LiNa,3,2.9000000000000004,4.044448399761017,-166.477978827054,-166.479272541039,-168.171041055579,1.693062228525008,0.0012937139850066615,1.6917685145400014
321G,HeMg,LiNa,4,2.9000000000000004,4.044448399761017,-166.50734095277437,-166.479272541039,-168.171041055579,1.6637001028046257,-0.028068411735375776,1.6917685145400014
321G,HeMg,LiNa,5,2.9000000000000004,4.044448399761017,-166.46867132851847,-166.479272541039,-168.171041055579,1.7023697270605282,0.010601212520526815,1.6917685145400014
321G,HeMg,LiNa,1,3.0,4.063080313813651,-165.09173192743594,-166.494697047766,-168.180624634938,3.0888927075020547,1.402965120330066,1.6859275871719888
321G,HeMg,LiNa,2,3.0,4.063080313813651,-166.33782031638276,-166.494697047766,-168.180624634938,1.8428043185552383,0.15687673138324953,1.6859275871719888
321G,HeMg,LiNa,3,3.0,4.063080313813651,-166.49102576312006,-166.494697047766,-168.180624634938,1.6895988718179353,0.003671284645946571,1.6859275871719888
321G,HeMg,LiNa,4,3.0,4.063080313813651,-166.52694756930939,-166.494697047766,-168.180624634938,1.6536770656286137,-0.032250521543375044,1.6859275871719888
321G,HeMg,LiNa,5,3.0,4.063080313813651,-166.48742081785375,-166.494697047766,-168.180624634938,1.6932038170842532,0.007276229912264398,1.6859275871719888
321G,HeMg,LiNa,1,3.1,4.07813461588063,-165.0976271940355,-166.508079317077,-168.189078184089,3.091450990053488,1.4104521230414946,1.6809988670119935
321G,HeMg,LiNa,2,3.1,4.07813461588063,-166.34941660854054,-166.508079317077,-168.189078184089,1.8396615755484618,0.15866270853646824,1.6809988670119935
321G,HeMg,LiNa,3,3.1,4.07813461588063,-166.50189982844304,-166.508079317077,-168.189078184089,1.6871783556459548,0.006179488633961228,1.6809988670119935
321G,HeMg,LiNa,4,3.1,4.07813461588063,-166.54408963812355,-166.508079317077,-168.189078184089,1.6449885459654467,-0.03601032104654678,1.6809988670119935
321G,HeMg,LiNa,5,3.1,4.07813461588063,-166.50236606610898,-166.508079317077,-168.189078184089,1.6867121179800222,0.00571325096802866,1.6809988670119935
321G,HeMg,LiNa,1,3.2,4.092664446913059,-165.10289203543073,-166.519694880166,-168.196635557854,3.0937435224232672,1.4168028447352867,1.6769406776879805
321G,HeMg,LiNa,2,3.2,4.092664446913059,-166.3591926046376,-166.519694880166,-168.196635557854,1.8374429532163958,0.16050227552841534,1.6769406776879805
321G,HeMg,LiNa,3,3.2,4.092664446913059,-166.511013960817,-166.519694880166,-168.196635557854,1.6856215970369988,0.008680919349018268,1.6769406776879805
321G,HeMg,LiNa,4,3.2,4.092664446913059,-166.55917363744743,-166.519694880166,-168.196635557854,1.6374619204065652,-0.039478757281415255,1.6769406776879805
321G,HeMg,LiNa,5,3.2,4.092664446913059,-166.51412846983547,-166.519694880166,-168.196635557854,1.682507088018525,0.005566410330544613,1.6769406776879805
321G,HeMg,BeNe,1,1.3,6.103759085672337,-128.53171068050108,-133.431438729847,-140.233743983285,11.702033302783917,4.899728049345924,6.802305253437993
321G,HeMg,BeNe,2,1.3,6.103759085672337,-132.68560327000202,-133.431438729847,-140.233743983285,7.548140713282976,0.745835459844983,6.802305253437993
321G,HeMg,BeNe,3,1.3,6.103759085672337,-133.85218282531562,-133.431438729847,-140.233743983285,6.381561157969372,-0.42074409546862057,6.802305253437993
321G,HeMg,BeNe,4,1.3,6.103759085672337,-133.6243947951169,-133.431438729847,-140.233743983285,6.609349188168096,-0.19295606526989673,6.802305253437993
321G,HeMg,BeNe,5,1.3,6.103759085672337,-133.31823962952257,-133.431438729847,-140.233743983285,6.9155043537624294,0.11319910032443659,6.802305253437993
321G,HeMg,BeNe,1,1.4000000000000001,6.165447550651059,-128.98987513716244,-133.965450089405,-140.795899260195,11.806024123032557,4.975574952242567,6.83044917078999
321G,HeMg,BeNe,2,1.4000000000000001,6.165447550651059,-133.22893321437286,-133.965450089405,-140.795899260195,7.5669660458221415,0.7365168750321516,6.83044917078999
321G,HeMg,BeNe,3,1.4000000000000001,6.165447550651059,-134.37238249627526,-133.965450089405,-140.795899260195,6.423516763919736,-0.4069324068702542,6.83044917078999
321G,HeMg,BeNe,4,1.4000000000000001,6.165447550651059,-134.19099639981786,-133.965450089405,-140.795899260195,6.604902860377138,-0.22554631041285234,6.83044917078999
321G,HeMg,BeNe,5,1.4000000000000001,6.165447550651059,-134.08031421584602,-133.965450089405,-140.795899260195,6.715585044348984,-0.11486412644100596,6.83044917078999
321G,HeMg,BeNe,1,1.5,6.2324978108571525,-129.30400651734743,-134.35243189798,-141.213884755444,11.909878238096582,5.04842538063258,6.861452857464002
321G,HeMg,BeNe,2,1.5,6.2324978108571525,-133.58750309975693,-134.35243189798,-141.213884755444,7.626381655687084,0.7649287982230817,6.861452857464002
321G,HeMg,BeNe,3,1.5,6.2324978108571525,-134.69801610182046,-134.35243189798,-141.213884755444,6.515868653623556,-0.3455842038404455,6.861452857464002
321G,HeMg,BeNe,4,1.5,6.2324978108571525,-134.59140212076687,-134.35243189798,-141.213884755444,6.622482634677141,-0.2389702227868611,6.861452857464002
321G,HeMg,BeNe,5,1.5,6.2324978108571525,-134.8667292610659,-134.35243189798,-141.213884755444,6.347155494378114,-0.5142973630858876,6.861452857464002
321G,HeMg,BeNe,1,1.6,6.306070091501828,-129.51022784779616,-134.633151207329,-141.524589918855,12.014362071058855,5.122923359532848,6.891438711526007
321G,HeMg,BeNe,2,1.6,6.306070091501828,-133.82525242224213,-134.633151207329,-141.524589918855,7.699337496612884,0.8078987850868771,6.891438711526007
321G,HeMg,BeNe,3,1.6,6.306070091501828,-134.90278516124258,-134.633151207329,-141.524589918855,6.621804757612438,-0.26963395391356926,6.891438711526007
321G,HeMg,BeNe,4,1.6,6.306070091501828,-134.81044764876899,-134.633151207329,-141.524589918855,6.714142270086029,-0.17729644143997803,6.891438711526007
321G,HeMg,BeNe,5,1.6,6.306070091501828,-135.39553785936405,-134.633151207329,-141.524589918855,6.129052059490959,-0.7623866520350475,6.891438711526007
321G,HeMg,BeNe,1,1.7000000000000002,6.368341070963973,-129.6394811258156,-134.845642495101,-141.75527965821,12.115798532394393,5.206161369285411,6.909637163108982
321G,HeMg,BeNe,2,1.7000000000000002,6.368341070963973,-133.9883941814819,-134.845642495101,-141.75527965821,7.766885476728078,0.8572483136190954,6.909637163108982
321G,HeMg,BeNe,3,1.7000000000000002,6.368341070963973,-135.03793142886866,-134.845642495101,-141.75527965821,6.717348229341326,-0.19228893376765654,6.909637163108982
321G,HeMg,BeNe,4,1.7000000000000002,6.368341070963973,-134.86127777692974,-134.845642495101,-141.75527965821,6.894001881280246,-0.01563528182873597,6.909637163108982
321G,HeMg,BeNe,5,1.7000000000000002,6.368341070963973,-135.3770199972028,-134.845642495101,-141.75527965821,6.378259661007178,-0.5313775021018046,6.909637163108982
321G,HeMg,BeNe,1,1.8,6.424293299836647,-129.71419231581137,-134.998514764966,-141.926293162615,12.212100846803622,5.284322449154615,6.927778397649007
321G,HeMg,BeNe,2,1.8,6.424293299836647,-134.10464372350972,-134.998514764966,-141.926293162615,7.821649439105272,0.893871041456265,6.927778397649007
321G,HeMg,BeNe,3,1.8,6.424293299836647,-135.13974958047265,-134.998514764966,-141.926293162615,6.786543582142343,-0.14123481550666384,6.927778397649007
321G,HeMg,BeNe,4,1.8,6.424293299836647,-134.81621681812342,-134.998514764966,-141.926293162615,7.110076344491574,0.18229794684256717,6.927778397649007
321G,HeMg,BeNe,5,1.8,6.424293299836647,-134.77670342998292,-134.998514764966,-141.926293162615,7.14958973263208,0.22181133498307304,6.927778397649007
321G,HeMg,BeNe,1,1.9000000000000001,6.489150183987009,-129.75194191141566,-135.116274737948,-142.052883870465,12.30094195904934,5.3643328265323476,6.936609132516992
321G,HeMg,BeNe,2,1.9000000000000001,6.489150183987009,-134.19285797199896,-135.116274737948,-142.052883870465,7.860025898466034,0.9234167659490424,6.936609132516992
321G,HeMg,BeNe,3,1.9000000000000001,6.489150183987009,-135.232971304629,-135.116274737948,-142.052883870465,6.819912565836006,-0.11669656668098582,6.936609132516992
321G,HeMg,BeNe,4,1.9000000000000001,6.489150183987009,-134.7741090993696,-135.116274737948,-142.052883870465,7.278774771095385,0.3421656385783933,6.936609132516992
321G,HeMg,BeNe,5,1.9000000000000001,6.489150183987009,-133.90429746595433,-135.116274737948,-142.052883870465,8.148586404510667,1.2119772719936748,6.936609132516992
321G,HeMg,BeNe,1,2.0,6.5393623439131225,-129.76447516001346,-135.211222743226,-142.14650237544,12.382027215426547,5.446747583212527,6.935279632214019
321G,HeMg,BeNe,2,2.0,6.5393623439131225,-134.26218168790055,-135.211222743226,-142.14650237544,7.884320687539457,0.9490410553254378,6.935279632214019
321G,HeMg,BeNe,3,2.0,6.5393623439131225,-135.32502674100812,-135.211222743226,-142.14650237544,6.821475634431891,-0.11380399778212791,6.935279632214019
321G,HeMg,BeNe,4,2.0,6.5393623439131225,-134.8006774632285,-135.211222743226,-142.14650237544,7.345824912211498,0.4105452799974785,6.935279632214019
321G,HeMg,BeNe,5,2.0,6.5393623439131225,-133.17296906516603,-135.211222743226,-142.14650237544,8.973533310273979,2.0382536780599594,6.935279632214019
321G,HeMg,BeNe,1,2.1,6.598774517622532,-129.76102358819796,-135.291624887032,-142.215724873604,12.454701285406031,5.5306012988340285,6.924099986572003
321G,HeMg,BeNe,2,2.1,6.598774517622532,-134.31949932187746,-135.291624887032,-142.215724873604,7.8962255517265305,0.9721255651545277,6.924099986572003
321G,HeMg,BeNe,3,2.1,6.598774517622532,-135.41603452215932,-135.291624887032,-142.215724873604,6.799690351444667,-0.1244096351273356,6.924099986572003
321G,HeMg,BeNe,4,2.1,6.598774517622532,-134.9111097931395,-135.291624887032,-142.215724873604,7.304615080464487,0.38051509389248395,6.924099986572003
321G,HeMg,BeNe,5,2.1,6.598774517622532,-132.82573722437076,-135.291624887032,-142.215724873604,9.389987649233234,2.465887662661231,6.924099986572003
321G,HeMg,BeNe,1,2.2,6.64590096937547,-129.74739045024148,-135.362548316874,-142.266950746811,12.519560296569523,5.615157866632529,6.904402429936994
321G,HeMg,BeNe,2,2.2,6.64590096937547,-134.36743709129797,-135.362548316874,-142.266950746811,7.899513655513033,0.9951112255760393,6.904402429936994
321G,HeMg,BeNe,3,2.2,6.64590096937547,-135.50056509626134,-135.362548316874,-142.266950746811,6.766385650549665,-0.13801677938732837,6.904402429936994
321G,HeMg,BeNe,4,2.2,6.64590096937547,-135.0822217155091,-135.362548316874,-142.266950746811,7.184729031301913,0.28032660136491927,6.904402429936994
321G,HeMg,BeNe,5,2.2,6.64590096937547,-132.86703290557966,-135.362548316874,-142.266950746811,9.399917841231343,2.495515411294349,6.904402429936994
321G,HeMg,BeNe,1,2.3,6.686627020256333,-129.7278141850316,-135.426705459687,-142.304938514031,12.577124328999389,5.698891274655409,6.87823305434398
321G,HeMg,BeNe,2,2.3,6.686627020256333,-134.40825699624784,-135.426705459687,-142.304938514031,7.896681517783151,1.0184484634391708,6.87823305434398
321G,HeMg,BeNe,3,2.3,6.686627020256333,-135.57506052515484,-135.426705459687,-142.304938514031,6.729877988876154,-0.1483550654678254,6.87823305434398
321G,HeMg,BeNe,4,2.3,6.686627020256333,-135.28181257126616,-135.426705459687,-142.304938514031,7.023125942764835,0.14489288842085557,6.87823305434398
321G,HeMg,BeNe,5,2.3,6.686627020256333,-133.16780865028142,-135.426705459687,-142.304938514031,9.137129863749578,2.2588968094055986,6.87823305434398
321G,HeMg,BeNe,1,2.4000000000000004,6.73341834208556,-129.70526879972067,-135.485276638386,-142.333216971465,12.627948171744322,5.780007838665341,6.847940333078981
321G,HeMg,BeNe,2,2.4000000000000004,6.73341834208556,-134.44341014843116,-135.485276638386,-142.333216971465,7.889806823033837,1.041866489954856,6.847940333078981
321G,HeMg,BeNe,3,2.4000000000000004,6.73341834208556,-135.63756670662235,-135.485276638386,-142.333216971465,6.695650264842641,-0.15229006823633995,6.847940333078981
321G,HeMg,BeNe,4,2.4000000000000004,6.73341834208556,-135.48390428369947,-135.485276638386,-142.333216971465,6.849312687765519,0.0013723546865378466,6.847940333078981
321G,HeMg,BeNe,5,2.4000000000000004,6.73341834208556,-133.58093391609273,-135.485276638386,-142.333216971465,8.75228305537226,1.9043427222932792,6.847940333078981
