631G*,HAl,HeMg,4,2.0,3.888063385306421,-200.48240136480626,-200.463077494153,-202.152775966331,1.6703746015247418,-0.019323870653266795,1.6896984721780086
631G*,HAl,HeMg,5,2.0,3.888063385306421,-200.4707058077213,-200.463077494153,-202.152775966331,1.6820701586097186,-0.007628313568289968,1.6896984721780086
631G*,HAl,HeMg,1,2.1,3.900224843749569,-199.39766269514806,-200.532950165018,-202.214991146198,2.8173284510499457,1.1352874698699509,1.6820409811799948
631G*,HAl,HeMg,2,2.1,3.900224843749569,-200.3349633086082,-200.532950165018,-202.214991146198,1.8800278375898074,0.19798685640981262,1.6820409811799948
631G*,HAl,HeMg,3,2.1,3.900224843749569,-200.56183090528512,-200.532950165018,-202.214991146198,1.6531602409128823,-0.028880740267112515,1.6820409811799948
631G*,HAl,HeMg,4,2.1,3.900224843749569,-200.55141212656522,-200.532950165018,-202.214991146198,1.6635790196327775,-0.018461961547217243,1.6820409811799948
631G*,HAl,HeMg,5,2.1,3.900224843749569,-200.53930216518594,-200.532950165018,-202.214991146198,1.6756889810120583,-0.006352000167936467,1.6820409811799948
631G*,HAl,HeMg,1,2.2,3.9184277296813006,-199.43425029056925,-200.587627006363,-202.263765801345,2.8295155107757353,1.1533767157937405,1.6761387949819948
631G*,HAl,HeMg,2,2.2,3.9184277296813006,-200.38793672807142,-200.587627006363,-202.263765801345,1.8758290732735645,0.1996902782915697,1.6761387949819948
631G*,HAl,HeMg,3,2.2,3.9184277296813006,-200.61856650889592,-200.587627006363,-202.263765801345,1.645199292449064,-0.030939502532930874,1.6761387949819948
631G*,HAl,HeMg,4,2.2,3.9184277296813006,-200.60505208565363,-200.587627006363,-202.263765801345,1.6587137156913627,-0.017425079290632084,1.6761387949819948
631G*,HAl,HeMg,5,2.2,3.9184277296813006,-200.59264316744782,-200.587627006363,-202.263765801345,1.6711226338971699,-0.005016161084824944,1.6761387949819948
631G*,HAl,HeMg,1,2.3,3.9383917015704055,-199.4599235887212,-200.630344229499,-202.302308391801,2.8423848030797956,1.1704206407777917,1.6719641623020038
631G*,HAl,HeMg,2,2.3,3.9383917015704055,-200.4292878794544,-200.630344229499,-202.302308391801,1.8730205123466135,0.20105635004460964,1.6719641623020038
631G*,HAl,HeMg,3,2.3,3.9383917015704055,-200.66338878058752,-200.630344229499,-202.302308391801,1.6389196112134812,-0.03304455108852267,1.6719641623020038
631G*,HAl,HeMg,4,2.3,3.9383917015704055,-200.64654067628143,-200.630344229499,-202.302308391801,1.6557677155195734,-0.016196446782430485,1.6719641623020038
631G*,HAl,HeMg,5,2.3,3.9383917015704055,-200.63384429103667,-200.630344229499,-202.302308391801,1.6684641007643393,-0.0035000615376645783,1.6719641623020038
631G*,HAl,HeMg,1,2.4000000000000004,3.9605009783019636,-199.4770108361629,-200.663681541815,-202.333026265603,2.856015429440106,1.1866707056521193,1.6693447237879866
631G*,HAl,HeMg,2,2.4000000000000004,3.9605009783019636,-200.46162795232874,-200.663681541815,-202.333026265603,1.8713983132742555,0.20205358948626895,1.6693447237879866
631G*,HAl,HeMg,3,2.4000000000000004,3.9605009783019636,-200.69899911356393,-200.663681541815,-202.333026265603,1.6340271520390672,-0.03531757174891936,1.6693447237879866
631G*,HAl,HeMg,4,2.4000000000000004,3.9605009783019636,-200.67854934013764,-200.663681541815,-202.333026265603,1.6544769254653602,-0.014867798322626413,1.6693447237879866
631G*,HAl,HeMg,5,2.4000000000000004,3.9605009783019636,-200.66545627265086,-200.663681541815,-202.333026265603,1.6675699929521386,-0.001774730835848004,1.6693447237879866
631G*,HAl,HeMg,1,2.5,3.986453155622679,-199.48734830134734,-200.689693146107,-202.357709395191,2.8703610938436555,1.202344844759665,1.6680162490839905
631G*,HAl,HeMg,2,2.5,3.986453155622679,-200.486985451466,-200.689693146107,-202.357709395191,1.8707239437249825,0.20270769464099203,1.6680162490839905
631G*,HAl,HeMg,3,2.5,3.986453155622679,-200.72748919945693,-200.689693146107,-202.357709395191,1.6302201957340685,-0.037796053349921976,1.6680162490839905
631G*,HAl,HeMg,4,2.5,3.986453155622679,-200.70315107278736,-200.689693146107,-202.357709395191,1.6545583224036307,-0.013457926680359833,1.6680162490839905
631G*,HAl,HeMg,5,2.5,3.986453155622679,-200.68941441999573,-200.689693146107,-202.357709395191,1.6682949751952663,0.0002787261112757733,1.6680162490839905
631G*,HAl,HeMg,1,2.6,4.009274678277322,-199.49238156654346,-200.710010399749,-202.377695017526,2.885313450982551,1.2176288332055378,1.667684617777013
631G*,HAl,HeMg,2,2.6,4.009274678277322,-200.50694297305705,-200.710010399749,-202.377695017526,1.8707520444689578,0.20306742669194477,1.667684617777013
